TAZ,CBD,HH_IncludingGQ,HH,HH_GQ,Accomodations,College_University,Commercial,Industrial,Institutional,K12,Retail,Special_Commercial,Special_Retail
593,0,172,172,0,0,0,19,149,0,0,94,0,6
594,0,44,44,0,0,0,108,0,16,0,13,0,17
595,0,105,97,8,0,0,50,1,19,93,15,2,0
596,0,36,36,0,1,0,43,0,0,0,2,0,0
597,0,51,51,0,0,0,215,10,11,0,12,10,2
598,0,45,45,0,0,0,19,10,10,0,27,2,0
599,0,120,120,0,0,0,19,11,6,0,6,3,0
600,0,124,124,0,0,0,26,18,1,0,7,3,0
625,0,169,169,0,0,0,35,0,154,22,11,25,0
626,0,213,168,45,0,0,36,15,46,330,2,24,0
627,0,255,255,0,42,0,353,43,106,45,303,27,15
628,0,69,69,0,3,0,21,20,5,0,0,0,0
629,0,158,158,0,0,0,55,14,0,0,18,1,0
630,0,249,249,0,2,0,85,617,73,0,71,4,13
631,0,108,108,0,0,0,9,2,1,0,2,1,0
632,0,180,180,0,8,0,48,0,5,0,3,0,0
633,0,471,471,0,15,0,139,49,5,0,135,5,53
634,0,135,135,0,2,0,22,11,2,0,35,5,11
635,0,33,33,0,0,0,5,2,0,0,5,0,0
636,0,122,122,0,0,0,11,2,11,0,22,0,0
637,0,377,273,104,0,0,67,3,190,0,41,0,0
638,0,64,64,0,0,0,14,2,2,0,6,1,0
639,0,134,134,0,0,0,38,9,13,0,135,10,58
640,0,29,29,0,0,0,137,1,0,45,9,77,5
641,0,90,90,0,0,0,86,50,18,0,211,18,32
642,0,26,26,0,0,0,54,1,75,0,2,3,0
643,0,79,79,0,0,0,86,0,0,0,21,11,0
644,0,144,144,0,8,0,75,42,3,0,91,2,10
645,0,163,163,0,0,0,8,2,5,0,0,0,0
646,0,76,76,0,0,0,19,23,0,0,0,0,18
647,0,147,147,0,0,0,23,18,0,0,0,30,0
648,0,66,66,0,0,0,5,0,0,0,39,0,0
673,0,103,103,0,0,0,24,0,0,0,2,0,0
674,0,9,9,0,0,0,2,0,0,0,0,0,0
675,0,85,85,0,0,0,24,4,5,0,8,0,0
676,0,29,29,0,2,0,1,45,12,0,10,1,59
677,0,646,646,0,26,6,134,136,74,0,30,9,13
678,0,0,0,0,0,0,3350,0,13,0,0,0,0
679,0,59,59,0,0,0,189,2,6,0,220,1,0
680,0,180,180,0,0,0,120,0,27,0,261,6,249
681,0,257,257,0,0,0,28,1,1,0,69,0,0
682,0,130,130,0,0,0,12,8,0,0,3,0,0
683,0,227,227,0,0,0,19,0,4,0,0,0,0
684,0,525,525,0,10,0,169,42,14,214,147,4,136
685,0,44,44,0,0,0,39,10,7,0,57,2,0
686,0,7,7,0,0,0,33,0,0,0,0,0,23
687,0,32,32,0,0,0,11,2,0,0,18,0,5
688,0,9,9,0,0,0,783,607,52,0,101,4,0
689,0,62,62,0,0,0,21,2,3,0,0,0,0
690,0,350,350,0,0,0,56,38,3,0,36,3,8
691,0,221,221,0,0,0,26,3,0,18,1,2,0
692,0,56,56,0,0,0,13,0,0,0,1,12,6
693,0,114,114,0,0,0,32,0,0,0,2,1,2
694,0,63,63,0,0,0,5,0,7,0,11,0,0
695,0,18,18,0,0,0,13,0,0,0,0,0,0
696,0,0,0,0,0,0,40,0,0,0,0,0,0
697,0,114,114,0,0,0,254,59,88,0,77,0,0
698,0,0,0,0,0,0,350,383,31,0,106,4,34
699,0,18,18,0,0,0,300,277,18,0,135,22,24
700,0,10,10,0,0,0,124,87,108,0,5,0,0
701,0,21,21,0,0,0,58,1,231,0,3,0,0
702,0,21,21,0,0,0,30,5,42,0,0,25,0
703,0,169,169,0,0,0,16,4,1,0,0,20,0
704,0,220,220,0,0,0,39,15,0,6,4,0,0
705,0,5,5,0,0,0,0,15,0,0,0,0,0
706,0,337,337,0,73,0,46,17,21,0,3,0,0
707,0,111,111,0,0,0,29,4,9,0,361,0,0
708,0,12,12,0,0,0,96,2,22,0,1108,0,184
709,0,1,1,0,0,0,0,0,0,0,0,29,0
710,0,303,303,0,0,0,2,0,0,0,0,25,0
711,0,27,27,0,342,0,29,0,0,0,0,0,0
712,0,53,53,0,0,0,102,22,0,0,104,10,102
713,0,90,90,0,0,0,153,507,33,0,142,0,44
714,0,4,4,0,0,0,81,244,13,6,316,14,17
715,0,17,17,0,0,0,72,23,0,0,105,5,29
716,0,0,0,0,0,0,587,0,26,0,0,0,0
717,0,306,306,0,0,0,203,4,10,0,2,0,0
718,0,296,296,0,0,0,50,25,0,0,0,10,0
719,0,788,788,0,5,0,170,23,366,0,22,53,0
720,0,76,76,0,0,0,76,0,3,0,2,0,0
721,0,1,1,0,0,0,23,0,0,316,22,0,0
722,0,13,13,0,0,0,29,56,151,0,185,6,32
723,0,6,6,0,0,0,0,0,0,0,111,0,0
724,0,4,4,0,0,0,35,5,16,0,53,12,107
725,0,5,5,0,157,0,58,26,11,0,278,0,0
726,0,0,0,0,98,0,13,0,0,0,0,0,0
727,0,43,43,0,102,0,68,7,31,8,166,11,258
728,0,177,177,0,0,0,7,7,5,11,27,0,0
729,0,10,10,0,0,0,25,26,0,0,5,0,0
730,0,14,14,0,0,0,95,809,0,0,3,0,53
731,0,0,0,0,0,0,605,0,0,0,0,0,0
732,0,106,106,0,0,0,19,5,0,0,3,0,0
733,0,260,260,0,6,0,117,19,76,0,84,8,94
734,0,78,78,0,0,0,6,1,0,0,0,10,0
735,0,281,281,0,0,0,30,11,0,0,6,0,0
736,0,138,138,0,0,0,0,0,0,0,0,0,254
737,0,8,8,0,165,0,76,0,1,79,3,2,56
738,0,285,285,0,0,0,16,22,2,53,15,1,0
739,0,36,36,0,0,0,7,0,0,0,0,0,0
740,0,61,61,0,0,0,0,6,6,0,1,0,0
741,0,532,532,0,3,0,118,223,189,0,40,4,14
742,0,83,83,0,0,0,7,8,0,5,11,1,0
743,0,3,3,0,11,0,19,0,0,0,183,0,10
744,0,220,220,0,0,0,39,0,0,0,70,0,55
745,0,329,329,0,0,0,99,0,6,0,87,0,0
746,0,138,138,0,0,100,34,15,0,0,14,0,22
747,0,7,7,0,0,0,142,207,16,0,14,3,31
748,0,0,0,0,0,0,22,55,0,0,252,0,65
749,0,0,0,0,0,0,20,93,0,0,168,0,5
750,0,1,1,0,0,0,1,0,0,0,204,0,0
751,0,138,138,0,0,0,250,0,0,0,117,34,52
752,0,123,123,0,0,0,0,2,0,0,0,0,17
753,0,291,291,0,0,0,29,4,25,0,1,1,7
754,0,98,98,0,0,0,15,1,2,7,0,1,0
755,0,0,0,0,0,0,1,0,0,0,294,0,0
756,0,71,71,0,0,0,7,5,0,0,3,0,0
757,0,17,17,0,0,0,4,0,63,0,0,0,0
758,0,39,39,0,0,0,14,1,0,0,16,0,16
759,0,0,0,0,0,0,763,3,6,0,38,1,0
784,0,250,250,0,0,1,28,6,0,0,10,1,0
785,0,72,72,0,0,0,22,13,0,1,4,34,0
810,0,522,522,0,0,0,74,66,4,49,9,4,40
811,0,166,166,0,0,0,97,49,0,0,24,0,0
812,0,400,400,0,0,0,57,32,10,0,18,4,0
813,0,249,249,0,0,0,43,38,36,0,16,0,0
838,0,126,126,0,0,0,30,16,0,0,7,1,0
839,0,239,239,0,0,0,20,15,1,0,6,2,0
840,0,182,172,10,0,0,8,16,5,0,6,0,0
841,0,72,72,0,0,0,57,4,0,51,9,0,0
842,0,77,77,0,0,0,39,26,0,0,1,0,0
843,0,209,209,0,2,0,15,53,3,0,4,2,7
868,0,181,181,0,2,0,24,6,28,0,2,0,0
869,0,287,287,0,3,0,46,92,89,0,19,0,4
870,0,157,157,0,0,0,41,7,18,0,11,0,0
871,0,92,92,0,0,0,41,9,16,2,6,2,0
872,0,153,153,0,0,0,12,16,1,0,1,1,0
873,0,47,47,0,0,0,5,4,0,0,0,0,0
874,0,171,171,0,2,0,12,0,0,0,3,10,6
875,0,123,123,0,0,0,12,45,4,0,5,2,0
876,0,251,251,0,3,0,169,14,18,161,27,0,6
877,0,126,126,0,0,0,14,0,0,0,14,0,0
878,0,14,14,0,87,0,533,227,29,0,147,0,0
879,0,5,5,0,29,0,19,290,6,0,805,0,0
880,0,3,3,0,0,0,72,203,25,0,164,0,0
881,0,45,45,0,0,0,76,153,0,0,0,0,0
882,0,60,60,0,0,0,7,15,0,0,0,1,0
883,0,72,72,0,0,0,1,4,2,0,5,1,0
884,0,161,161,0,0,0,9,15,5,0,7,1,0
885,0,84,84,0,0,0,98,0,0,0,202,0,66
886,0,38,38,0,0,0,179,87,61,0,54,1,7
887,0,8,8,0,0,0,120,507,0,0,84,6,0
888,0,7,7,0,0,0,724,258,0,0,14,0,0
889,0,184,184,0,0,0,17,3,0,0,2,0,6
890,0,29,29,0,0,0,16,31,0,0,0,0,0
891,0,336,336,0,0,0,424,50,96,0,43,15,15
892,0,98,98,0,15,0,50,18,3,0,104,0,46
893,0,11,11,0,0,0,92,8,22,0,326,0,103
894,0,8,8,0,0,0,410,320,469,0,115,4,8
895,0,155,155,0,0,0,11,4,1,0,38,0,7
896,0,15,15,0,0,0,9,141,0,0,16,0,0
